Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
2.072640359401703E-05;0.8077638447284698;0.01205986738204956;64.5;
2.0823067426681535E-05;0.7855976819992065;0.011907070875167847;64;
2.072070240974425E-05;0.767011284828186;0.01157236099243164;64.5;
2.0493716001510585E-05;0.7587913274765015;0.011412322521209717;65;
2.0949032902717638E-05;0.8133772015571594;0.012199938297271729;65;
2.0764881372451794E-05;0.7833366990089417;0.011879771947860718;65;
2.0491522550582914E-05;0.7551133036613464;0.01140323281288147;65;
2.096310853958133E-05;0.8196818232536316;0.012234479188919067;64.5;
2.0759612321853617E-05;0.7836950421333313;0.011879801750183105;65;
2.0481109619140624E-05;0.7548368275165558;0.011405020952224731;65;
2.0983847975730892E-05;0.8152562379837036;0.012205392122268677;64.5;
2.079814970493317E-05;0.7861797511577606;0.011903434991836548;64.5;
2.048355937004086E-05;0.756584882736206;0.011419594287872314;64.5;
2.077686488628392E-05;0.807621955871582;0.012068957090377808;64;
2.075361609458928E-05;0.7807227969169617;0.011857956647872925;63;
2.0639404654502862E-05;0.7583492994308472;0.01148688793182373;64;
2.049879431724542E-05;0.7565121054649353;0.011414110660552979;64.5;
2.092634141445161E-05;0.8123094737529755;0.012183576822280884;64;
2.0803552865981956E-05;0.7862379848957062;0.011908888816833496;64.5;
2.0480325818061787E-05;0.755126029253006;0.011395961046218872;65;
2.0874911546707193E-05;0.8125459551811218;0.01214715838432312;65;
2.0767498016357414E-05;0.7843862473964691;0.011877983808517456;65;
2.0472607016563428E-05;0.7549696266651154;0.011397749185562134;64;
2.096280753612523E-05;0.8138937950134277;0.01219630241394043;64;
2.079076468944547E-05;0.7829146683216095;0.011876165866851807;64.5;
2.047430872917171E-05;0.7556226253509521;0.011403203010559082;65;
2.0868057012557928E-05;0.8113617897033691;0.012158095836639404;64;
2.0802631974220238E-05;0.7851993143558502;0.011892527341842651;63;
2.0533642172813394E-05;0.7571924328804016;0.011445045471191406;64;
2.0523935556411685E-05;0.7607103288173676;0.011477798223495483;65;
2.0955646038055427E-05;0.810626894235611;0.012159913778305054;65;
2.0787176489829996E-05;0.7841770648956299;0.01187250018119812;65;
2.0494991540908865E-05;0.7569213807582855;0.011414140462875366;64.5;
2.0952230691909774E-05;0.8152198493480682;0.012199938297271729;64;
2.0765537023544295E-05;0.7819742858409882;0.011850684881210327;64.5;
2.051277458667755E-05;0.7575871348381042;0.011450499296188354;65;
2.0931753516197104E-05;0.8101430833339691;0.012179940938949585;64.5;
2.075880765914904E-05;0.7837805151939392;0.011907070875167847;64;
2.0481112599372896E-05;0.755207896232605;0.011403203010559082;64;
2.0861983299255227E-05;0.8111944496631622;0.012128978967666626;64;
2.0749944448471063E-05;0.7841934263706207;0.011868864297866821;64;
2.049807012081159E-05;0.7564229965209961;0.011423230171203613;64.5;
2.0583781599998498E-05;0.7898668348789215;0.011859774589538574;66.5;
2.0844435691833637E-05;0.7869182527065277;0.011774301528930664;66;
2.077514827251428E-05;0.782891035079956;0.011887073516845703;64;
2.0483073592185907E-05;0.7550732791423798;0.011397749185562134;64;
2.0927190780639562E-05;0.813122570514679;0.012170851230621338;64.5;
2.077144980430594E-05;0.7842571139335632;0.0118943452835083;65;
2.0497915148735184E-05;0.7579436600208282;0.011414140462875366;65;
2.0949557423591584E-05;0.8141775727272034;0.012223571538925171;65;
2.07753032445909E-05;0.7837168574333191;0.01187431812286377;65;
2.049585580825796E-05;0.7588331401348114;0.011470526456832886;65;
2.0892277359962474E-05;0.811691015958786;0.012178093194961548;64.5;
2.0749130845069833E-05;0.7856377065181732;0.011876165866851807;64;
2.0464056730270207E-05;0.7539273202419281;0.011386841535568237;64;
2.066812515258789E-05;0.807822048664093;0.01200529932975769;64.5;
2.0821091532707272E-05;0.7812357544898987;0.011914342641830444;64.5;
2.0676100254058815E-05;0.7617926299571991;0.011548757553100586;64;
2.0480102300643888E-05;0.7557299733161926;0.011395931243896484;64;
2.095058858394617E-05;0.8200874328613281;0.012205392122268677;64.5;
2.083187103271494E-05;0.789499431848526;0.011941641569137573;64.5;
2.0508730411529464E-05;0.7569868862628937;0.011410504579544067;64.5;
2.0922198891639744E-05;0.8149979412555695;0.012179911136627197;65;
2.0764124393463134E-05;0.7816795706748962;0.011876136064529419;65;
2.0504751801490818E-05;0.7571451365947723;0.011423230171203613;64.5;
2.1094119548797658E-05;0.824132889509201;0.01230725646018982;64.5;
2.075408697128282E-05;0.7842643558979034;0.011885255575180054;65.5;
2.0525351166725226E-05;0.7568850219249725;0.011441409587860107;65.5;
2.073558568954463E-05;0.8066687881946564;0.012052595615386963;64.5;
2.0743769407272203E-05;0.781996101140976;0.011870712041854858;64.5;
2.067575752735134E-05;0.7587840259075165;0.011505067348480225;64.5;
2.048550248146051E-05;0.755051463842392;0.011388659477233887;64;
2.0903795957565334E-05;0.8137955963611603;0.012176275253295898;64;
2.07332760095596E-05;0.7813339829444885;0.01183977723121643;64.5;
2.0466718077659634E-05;0.7541692852973938;0.01137775182723999;64.5;
2.0943394303322028E-05;0.8155545592308044;0.012247204780578613;64.5;
2.0792147517204344E-05;0.784509927034378;0.011910706758499146;64.5;
2.045673131942762E-05;0.7549550533294678;0.011399596929550171;64;
2.0902109146118085E-05;0.812647819519043;0.012158095836639404;64;
2.0731493830680953E-05;0.7824544906616211;0.011852502822875977;64.5;
2.0455363392829886E-05;0.7548113465309143;0.011405020952224731;64.5;
2.0845726132392734E-05;0.8156764209270477;0.012149006128311157;63.5;
2.071659564971927E-05;0.7815104424953461;0.01184159517288208;63;
2.0590111613273546E-05;0.7564102411270142;0.011461436748504639;64;
2.0462781190872144E-05;0.7537272572517395;0.011374115943908691;65;
2.0889344811439448E-05;0.8123440444469452;0.012165367603302002;64.5;
