Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
6.3582092523574755E-06;0.25004854798316956;0.003697991371154785;63;
6.781226396560666E-06;0.29085564613342285;0.004169106483459473;62;
6.355240941047674E-06;0.2395038902759552;0.0035361051559448242;61;
6.323602795600897E-06;0.23972582817077637;0.003516077995300293;61.5;
6.591650843620295E-06;0.2678855061531067;0.00398176908493042;62;
6.374257802963239E-06;0.2393220067024231;0.0035561323165893555;62;
6.330525875091549E-06;0.23984041810035706;0.0035251975059509277;62;
6.326141953468315E-06;0.24104458093643188;0.003534287214279175;62;
6.314966082572929E-06;0.2398604154586792;0.0035142600536346436;62;
6.321138143539437E-06;0.23962941765785217;0.0035142898559570312;62;
6.328207254409785E-06;0.23981311917304993;0.0035233795642852783;62;
6.593656539916992E-06;0.2935750484466553;0.00420728325843811;62;
6.480336189270005E-06;0.24309822916984558;0.0036107003688812256;62;
6.326934695243832E-06;0.24109551310539246;0.003534287214279175;62;
6.401920318603534E-06;0.2618555724620819;0.0038489699363708496;63;
6.527346372604386E-06;0.24631601572036743;0.0036452412605285645;63;
6.323355436325067E-06;0.23988404870033264;0.003519713878631592;62;
6.344828009605412E-06;0.24322554469108582;0.003548860549926758;62.5;
6.329804658889771E-06;0.24036246538162231;0.003516077995300293;62;
6.329467892646787E-06;0.24000230431556702;0.0035178959369659424;61.5;
6.324610114097606E-06;0.24002596735954285;0.0035142898559570312;62;
6.412908434867877E-06;0.2636963725090027;0.003887176513671875;62.5;
6.627121567726144E-06;0.27525970339775085;0.003923535346984863;62.5;
6.3203215599060155E-06;0.24001502990722656;0.003521561622619629;62;
6.325346231460607E-06;0.24125194549560547;0.003534287214279175;62;
6.585860252380376E-06;0.2677381932735443;0.003974497318267822;62;
6.323099136352529E-06;0.23976582288742065;0.00352516770362854;62;
6.320866942405702E-06;0.23947662115097046;0.0035233795642852783;62;
6.32301270961762E-06;0.24030789732933044;0.0035324692726135254;62;
6.313717365264934E-06;0.23917284607887268;0.0035142898559570312;61.5;
6.338509917259234E-06;0.23982223868370056;0.0035178959369659424;61.5;
6.325602531433118E-06;0.23987314105033875;0.0035142600536346436;62;
6.610980629920954E-06;0.29326581954956055;0.0041873157024383545;61.5;
6.483620405197158E-06;0.24313458800315857;0.0036179721355438232;62;
6.330218911170958E-06;0.2397530972957611;0.0035161077976226807;63;
6.408277153968785E-06;0.26180827617645264;0.0038580596446990967;62;
6.528016924858056E-06;0.24651429057121277;0.003656148910522461;62;
6.311178207397462E-06;0.2396858036518097;0.00351792573928833;62;
6.334659457206762E-06;0.24116280674934387;0.003539741039276123;62;
6.321889162063581E-06;0.2398640513420105;0.0035142898559570312;62;
6.330561637878432E-06;0.24112826585769653;0.003534287214279175;62;
6.324014067649812E-06;0.23994773626327515;0.003516077995300293;62;
6.415519118309007E-06;0.2652570903301239;0.0038926303386688232;62.5;
6.651806831359849E-06;0.2748376727104187;0.0039344727993011475;62.5;
6.34937286376954E-06;0.24086087942123413;0.0035470128059387207;61.5;
6.339895725250219E-06;0.24243062734603882;0.0035451948642730713;62;
6.607699394226073E-06;0.26969724893569946;0.003972679376602173;62;
6.36478960514068E-06;0.24169757962226868;0.003565192222595215;61.5;
6.326928734779369E-06;0.2399022877216339;0.0035251975059509277;62;
6.3279300928116154E-06;0.23973309993743896;0.003516077995300293;62;
6.35749995708465E-06;0.23978948593139648;0.0035451948642730713;59.5;
6.327840685844434E-06;0.24136289954185486;0.003539741039276123;62;
6.327658891677854E-06;0.2402314841747284;0.00351792573928833;62;
6.629398465156507E-06;0.29504477977752686;0.0042400360107421875;61.5;
6.4520239830016726E-06;0.24184677004814148;0.0035906732082366943;61.5;
6.323826313018796E-06;0.2397749125957489;0.0035142600536346436;62;
6.407281756401083E-06;0.26273053884506226;0.0038708150386810303;62.5;
6.520861387252798E-06;0.24568116664886475;0.0036506950855255127;62;
6.319299340248083E-06;0.2396112084388733;0.0035161077976226807;61.5;
6.3252061605453456E-06;0.2398313283920288;0.003521561622619629;61.5;
6.32313787937163E-06;0.23961851000785828;0.0035142600536346436;62;
6.322133541107166E-06;0.239882230758667;0.0035161077976226807;61.5;
6.329360604286137E-06;0.23970583081245422;0.0035142898559570312;61.5;
6.454548239707893E-06;0.272909551858902;0.0039653778076171875;62;
6.635919213294952E-06;0.26686689257621765;0.003856271505355835;62;
6.318807601928748E-06;0.23965305089950562;0.003521531820297241;62;
6.320038437843275E-06;0.23970946669578552;0.00351792573928833;62;
6.602764129638662E-06;0.26868587732315063;0.003989040851593018;62;
6.358629465103233E-06;0.24097180366516113;0.0035415589809417725;61.5;
6.339967250823986E-06;0.24161756038665771;0.0035506486892700195;62;
6.348118185997001E-06;0.24213233590126038;0.0035324692726135254;62.5;
6.325453519821149E-06;0.24076992273330688;0.003530651330947876;62;
6.318905949592528E-06;0.239689439535141;0.0035161077976226807;62;
6.3215762376785545E-06;0.23971492052078247;0.0035142600536346436;62;
6.6475838422775085E-06;0.3006836175918579;0.004250973463058472;61;
6.444448232650738E-06;0.24245429039001465;0.0035924911499023438;62;
6.322684884071451E-06;0.23964759707450867;0.003516077995300293;62.5;
6.545993685722301E-06;0.2687077224254608;0.003939926624298096;62;
6.5748035907745115E-06;0.2465706467628479;0.0036634206771850586;62.5;
6.327232718467634E-06;0.24097365140914917;0.0035324692726135254;62.5;
6.333920359611407E-06;0.24007689952850342;0.0035197436809539795;62.5;
6.324824690818825E-06;0.24096453189849854;0.003530651330947876;62.5;
6.324723362922664E-06;0.2395857572555542;0.0035142600536346436;62;
6.320136785507163E-06;0.24007508158683777;0.0035233795642852783;62;
6.499642133712827E-06;0.2828393876552582;0.004029065370559692;62;
6.5822243690490416E-06;0.256318598985672;0.0037998557090759277;62.5;
6.323891878128019E-06;0.23959484696388245;0.0035379230976104736;63;
6.319457292556759E-06;0.2398604452610016;0.0035197436809539795;63;
6.656977534294137E-06;0.2706412672996521;0.004009038209915161;63;
6.364166736602737E-06;0.241071879863739;0.003557920455932617;63.5;
6.312489509582462E-06;0.24000412225723267;0.003521561622619629;64;
6.318324804306013E-06;0.23998227715492249;0.0035142898559570312;63.5;
6.315436959266631E-06;0.2397531270980835;0.0035142600536346436;63.5;
6.311857700347866E-06;0.239845871925354;0.0035161077976226807;64;
6.324309110641532E-06;0.23988404870033264;0.0035161077976226807;63.5;
6.694602966308516E-06;0.2970183789730072;0.004260033369064331;63;
6.4014345407486075E-06;0.24189770221710205;0.003576129674911499;63;
6.320884823799171E-06;0.2397421896457672;0.0035161077976226807;64;
6.454446911811841E-06;0.26551175117492676;0.0038817226886749268;64;
6.5106332302093065E-06;0.24397313594818115;0.003621608018875122;64.5;
6.3203334808349405E-06;0.23988407850265503;0.0035233497619628906;64;
6.315213441848732E-06;0.23987317085266113;0.0035161077976226807;63.5;
6.318691372871337E-06;0.23885998129844666;0.0035161077976226807;63.5;
6.319114565849285E-06;0.23973128199577332;0.0035142898559570312;64;
6.322687864303614E-06;0.23992592096328735;0.003519713878631592;64;
6.526952981948859E-06;0.28709763288497925;0.004087269306182861;64.5;
6.52746558189388E-06;0.2510926425457001;0.0037325620651245117;64.5;
6.329724192619406E-06;0.24119555950164795;0.003539741039276123;63.5;
6.31714761257173E-06;0.23990225791931152;0.0035161077976226807;63.5;
6.676468253135649E-06;0.2702738642692566;0.004018127918243408;63.5;
6.3759982585906774E-06;0.24275079369544983;0.0035597681999206543;63;
6.31724596023551E-06;0.23999318480491638;0.003516077995300293;63.5;
6.3257485628128145E-06;0.23999321460723877;0.0035233795642852783;64;
6.324791908264159E-06;0.2400241196155548;0.0035415589809417725;64;
6.327864527702338E-06;0.23981496691703796;0.0035161077976226807;64;
6.321147084236171E-06;0.2401132583618164;0.003516077995300293;64;
6.7393958568573486E-06;0.2970966100692749;0.0042855143547058105;63.5;
6.3848972320557E-06;0.2410936951637268;0.003567039966583252;63.5;
6.323045492172231E-06;0.24005141854286194;0.00351792573928833;64;
6.470209360122728E-06;0.26613566279411316;0.003910809755325317;63.5;
