Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
606.0747000000001;22511051;347716;59;
597.0627999999997;21457098;332336;59;
596.2320999999993;21440741;331725;59;
610.2438999999995;23527345;356567;59;
606.2780000000002;22415958;347533;59;
596.4320000000007;21343024;331847;59;
599.8161999999993;22321171;344909;59;
606.3983000000007;22899538;345214;58.5;
605.8701000000001;22484989;347045;58;
596.2678999999989;21217536;331908;58;
609.7189999999991;23236329;356567;57.5;
600.8582999999999;22137028;343749;59;
602.9761999999992;21535650;335998;59.5;
596.0211999999992;21234015;331664;58.5;
610.4926999999989;23524171;357055;58;
605.6983999999993;22484379;346923;59;
596.5416000000005;21286627;332397;59;
597.6231000000007;21364570;333251;59;
612.2095000000008;23731995;358336;59;
606.2965000000004;22613955;347717;59;
595.9651999999987;21482794;331176;59;
602.8599000000031;23174074;352050;60;
604.5985999999975;21989689;337462;60.5;
605.4604999999974;22607975;347961;59.5;
596.3709000000017;21451789;331725;58.5;
611.9183000000012;23586854;357543;58;
601.4714999999997;22615970;345824;58.5;
602.3284000000021;21441901;335265;59;
596.7806999999993;21374579;332214;59;
613.4255999999987;23778259;360412;59;
605.6118000000024;22352665;346801;59;
595.8856000000014;21327826;331176;59;
596.5192999999999;21520148;331664;59;
612.6913999999997;23753601;358703;59.5;
605.9766999999993;22548099;347472;59;
597.3234000000011;21610479;332824;58.5;
604.9125999999997;23389039;353210;59;
602.6144999999997;21779974;335327;59;
605.6083999999973;22330082;347228;58.5;
596.6578999999983;21457037;334472;58.5;
611.8941999999988;23438417;358092;59;
602.3856000000014;22274968;344848;58.5;
599.331900000001;21505133;333556;58;
595.7576000000045;21291022;331115;58;
609.8182000000015;23624512;356322;58.5;
611.4222000000009;23325929;353698;58.5;
596.7678999999989;21362922;332458;58.5;
596.9924000000028;21679632;337645;60;
610.5002999999997;23132448;351806;60.5;
607.4287999999942;22708194;348510;59;
596.0895999999993;21168159;331726;59;
609.7280000000028;23653198;358031;58.5;
602.4978000000046;22162297;345946;59;
602.5039000000033;21682135;335265;59.5;
596.044799999996;21229743;331787;58.5;
612.1097999999984;23594361;357665;58;
605.9108000000051;22387272;347778;58;
596.2014999999956;21356086;331786;58;
597.1578999999983;21566107;332702;58;
609.5362999999998;23518433;357237;58.5;
605.6359999999986;22398136;347595;58.5;
596.0675000000047;21495062;331786;59;
602.8935000000056;23086977;349670;59.5;
605.6960000000036;22090397;341185;59.5;
608.5391999999993;22828250;348510;59.5;
596.7505000000019;21672857;332519;59.5;
609.4922000000006;23617188;356383;59;
600.7459000000017;22446232;344054;58.5;
600.1638000000021;21530584;334105;58.5;
596.261400000003;21388557;331726;58;
612.0120999999999;23563660;358336;58.5;
606.8734999999942;22662723;347778;59.5;
596.3025000000052;21626897;331787;59.5;
595.7911999999997;21504340;331603;59;
614.1535000000003;24039367;360289;59;
605.7499000000025;22735050;347473;58.5;
596.1168000000034;21694829;331725;58;
605.2940999999992;23343569;354186;59;
602.9712999999974;21614325;336059;59.5;
606.7088999999978;22649295;347655;59;
595.6920000000027;21323188;331726;59;
609.9572000000044;23556153;357298;59.5;
604.0941999999995;22446720;346801;59.5;
598.8093000000008;21550909;333618;59;
596.8018999999986;21586920;331786;59;
612.1937000000034;23687684;357482;59;
606.0103999999992;22543460;346800;59;
596.0636000000013;21380804;331848;59.5;
595.9685000000027;21587653;331786;58.5;
609.8988000000027;23769409;357238;59;
605.9634000000005;22758182;347716;58.5;
596.364499999996;21579656;331970;59;
607.9916999999987;23576538;355346;59.5;
602.424199999994;22077702;342223;61.5;
605.2243999999992;22385380;341613;61.5;
599.8574000000008;22006169;336791;59.5;
613.5008999999991;23694886;360595;59;
605.6863000000012;22528263;347716;59.5;
596.8462;21591863;333007;60;
595.817200000005;21263740;331054;60;
610.867499999993;23502016;356749;59.5;
605.5389999999898;22567692;347045;59.5;
597.5967000000092;21603216;333068;60;
599.7973999999958;22365665;346618;60;
604.391300000003;22221074;341003;60;
605.4621000000043;22566653;347838;59.5;
595.4155000000028;21177803;331176;59.5;
609.9176999999909;23401246;356688;59.5;
600.9257999999973;22440494;345031;60;
602.3494000000064;21662542;335388;60.5;
595.7029000000039;21424201;330993;60;
608.7857999999978;23527528;355590;60;
605.1928999999946;22547672;346984;60.5;
595.7259000000049;21603094;331298;60;
596.3395000000019;21673406;331603;59.5;
611.7372000000032;23706971;358886;59.5;
605.1477000000014;22323124;347045;59;
596.744399999996;21404120;332701;59;
602.7289000000019;23056520;352417;60;
602.162799999991;21635504;335631;60.5;
605.559699999998;22554935;347777;60;
596.4763999999996;21659674;331726;60;
612.0804000000062;23689026;359313;59.5;
599.1972999999998;22423893;343688;60;
602.0693000000028;21727666;335449;60;
595.762699999992;21398200;331664;59.5;
609.0625;23514344;356383;59.5;
605.6901000000071;22565860;348022;59.5;
596.1476000000112;21340461;331969;59;
595.4870999999985;21398322;331603;59.5;
611.5463000000018;23676269;357787;60.5;
606.127999999997;22578921;347350;60.5;
595.8993000000046;21543829;331969;60;
603.7627999999968;23264894;353088;60;
600.7114000000001;21486090;334350;60;
605.034599999999;22419865;346984;60;
596.4678999999887;21600408;332092;60;
614.5181000000011;23838562;360899;60.5;
602.3748999999953;22482059;347656;60;
599.3076000000001;21430670;334289;59.5;
595.739499999996;21324958;331603;60;
609.0133999999962;23414369;355651;60;
604.8310999999958;22321537;346862;59.5;
595.8457999999955;21490668;331420;59;
595.6851000000024;21529180;331054;59.5;
616.3050999999978;23792359;363829;59.5;
606.8102999999974;22509159;348082;59;
596.3323999999993;21393744;331847;58.5;
608.4544999999925;23450379;355590;58.5;
599.2810000000027;22191777;340942;60;
603.3092000000033;22123784;338744;59.5;
596.2898999999888;21523199;332458;58.5;
612.3880999999965;23604798;357604;58.5;
605.1328999999969;22648074;347411;58.5;
597.4363999999914;21491522;332641;58.5;
597.0511999999871;21550421;332214;59;
611.0602999999974;23728638;357543;59;
605.9225000000006;22366031;347594;59;
597.1420999999973;21552313;331848;59.5;
600.4149999999936;22555851;347655;60;
608.9535000000033;22439518;343994;59.5;
606.5311999999976;22602908;348082;59;
596.0089000000007;21289924;331726;58;
609.521900000007;23326295;357176;58.5;
603.1371999999974;22331303;346069;59;
602.9804000000004;21517645;335936;58.5;
595.7715999999928;21158271;331543;58.5;
611.3870000000024;23353761;356688;58.5;
606.6064999999944;22772769;347289;59.5;
596.3006000000023;21680120;331908;59.5;
596.1497999999992;21376776;331665;59.5;
610.141300000003;23775452;357115;59;
605.3840999999957;22578495;347289;59.5;
598.0068000000028;21776800;332702;59;
603.6264000000083;23375551;351989;59;
603.5326999999961;21936162;336669;59;
606.1318000000028;22739871;347594;59;
596.1935000000085;21645269;331664;59;
609.9131000000052;23732849;356871;59;
603.1500000000087;22460941;345886;59;
597.8228999999992;21632513;333190;58.5;
596.142200000002;21547613;331603;59.5;
611.5215999999928;23678346;357970;59.5;
606.8320999999996;22560489;348449;59;
596.0212000000029;21396795;331908;59;
596.2687000000005;21295844;331604;59;
