Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
627.3516999999999;26297113;357177;70.5;
623.1623999999999;25877497;356932;70.5;
611.5032999999999;24728575;340759;71;
628.6179000000002;26906486;367492;70.5;
619.7141000000001;25661372;354857;69.5;
612.5335;24759458;341308;69.5;
611.3370999999997;24700682;340148;70;
627.0700000000006;26926078;366515;70.5;
621.2631000000001;25778804;356262;71;
614.6404999999995;24788205;341551;70;
618.4034000000001;26473077;362487;70.5;
617.9593000000004;25014829;344664;71.5;
624.8144999999995;25993707;358764;69;
623.2049000000006;25179318;346862;69;
632.8577000000005;27170463;370666;71;
632.9796000000006;26213312;362609;71;
613.3251999999993;24841794;341307;70.5;
612.0426000000007;24825193;340698;70.5;
624.0626000000011;26697136;364806;71;
621.0748999999996;25749202;356017;71;
611.9983000000011;24734616;340698;71;
636.3136000000013;27313956;371520;70.5;
627.1463000000003;25999018;359069;70.5;
617.1962000000003;24873472;343688;71;
611.9832000000006;24728879;340575;70.5;
624.8739999999998;26789910;365661;70.5;
629.9887999999992;26106439;361144;71;
622.2930000000015;25189328;347045;71;
616.8004000000001;25878413;356200;72;
626.3126000000011;25875727;353515;72;
622.5643999999993;25904719;357299;71;
612.5620000000017;24866575;341185;71;
626.6569999999992;26890434;366699;71;
621.0463999999993;25727046;355834;71;
611.917300000001;24731199;340697;70.5;
611.9778000000006;24808042;340636;70;
635.400999999998;27160880;371948;70.5;
625.5172999999995;25972223;358763;71;
621.3266000000003;25118405;345825;70.5;
623.9674999999988;26786675;364989;70;
616.0707000000002;24908628;343566;71;
621.4369999999981;25726802;356506;71.5;
611.5084999999999;24741025;340636;70.5;
626.7583999999988;26905632;366088;70.5;
621.2191999999995;25798030;356383;71;
612.0639999999985;24752561;341064;71;
614.321899999999;24925534;342406;71;
631.5756000000001;27067192;369750;71.5;
633.6762000000017;26237176;362670;71.5;
613.4642999999996;24866453;341613;71;
630.1153999999988;26926078;368285;70.5;
615.790399999998;25558040;353392;70.5;
618.0797999999995;24923032;344177;70.5;
611.5002999999997;24798033;340453;70.5;
629.3036999999968;26995536;368041;70.5;
622.4026000000013;25752131;356444;70.5;
612.4495000000024;24745115;341552;70.5;
616.0316999999995;25736262;354675;69.5;
632.8145000000004;26190607;357726;70;
621.3543999999965;25771723;356688;70.5;
611.9945999999982;24733519;340576;70;
633.1554999999935;27540823;371642;70;
622.7200999999986;25809199;358580;70.5;
611.7317999999941;24730039;340942;70.5;
612.4533999999985;24774290;341125;70.5;
637.9637999999977;27367117;372923;71;
621.796500000004;25713618;355896;70.5;
612.2702999999965;24737547;340758;70;
619.8577000000005;26599480;362487;70;
616.4501000000018;24934995;343139;70.5;
621.9357000000018;25709284;356261;70.5;
611.5265999999974;24729368;340698;70;
626.2502999999997;26755791;365843;70.5;
621.9883000000045;25746394;356628;71;
612.4048000000039;24770933;341430;70.5;
611.4756000000052;24711912;340270;70.5;
625.2926000000007;26729790;365722;71;
621.8137999999963;25730525;356444;71;
609.7161000000051;24656675;339660;70.5;
