Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
239.32150000000001;8758401;133362;60.5;
241.0595000000003;9435400;143859;61.5;
249.08069999999998;9192298;139831;62;
238.7167000000004;8715310;132568;61;
238.92210000000023;8996070;133545;60.5;
239.22150000000056;8827920;132995;60.5;
238.92590000000018;8771522;132935;59.5;
239.2545;8774087;132995;60.5;
253.5636000000004;10815829;159118;60.5;
238.9944999999998;8774148;133179;59.5;
238.92720000000008;8771278;132995;60;
248.58249999999953;9849829;149169;60;
238.88700000000063;8716408;133179;60;
239.0130999999992;8776528;133178;60;
238.88400000000001;8778481;132995;60;
238.95809999999983;8776711;132935;59.5;
239.73410000000058;8881691;133544;60.5;
249.67489999999998;10700778;156494;60;
243.0556000000006;8880104;135498;60;
238.95769999999993;8727212;133484;60;
247.26990000000023;9812413;148131;60;
241.59500000000025;8891762;134827;60.5;
239.34039999999914;8782998;133178;60.5;
238.92180000000008;8771096;133301;60.5;
240.4883000000009;8972816;136413;60.5;
238.9435999999987;8765419;133056;60;
243.86239999999998;10370030;150696;60;
248.36549999999988;9169837;141235;61;
239.00370000000112;8732217;133056;60.5;
241.39260000000104;9532385;143921;61;
245.59610000000066;8928932;137451;60;
238.9447;8773721;133056;60.5;
238.77150000000074;8753944;133300;59.5;
238.83539999999994;8765237;132996;60;
238.8147000000008;8728615;132384;60.5;
238.73999999999978;8718300;132385;60.5;
252.84449999999924;10739962;157898;60.5;
239.17540000000008;8772622;133239;60.5;
239.16910000000098;8776283;133057;60;
251.53369999999995;9848303;150634;60;
239.96630000000005;8865395;133789;60.5;
239.08509999999842;8763832;133178;59;
239.09420000000136;8771462;132995;59.5;
239.15179999999964;8783242;132996;60.5;
239.10529999999926;8769387;132934;60.5;
250.36349999999948;10791293;158020;59.5;
241.82120000000032;8805275;134887;60;
240.45730000000003;8961464;134521;60;
247.2595999999994;9700842;147766;59;
240.23630000000048;8872474;133728;59.5;
239.1999999999989;8737526;133178;60;
238.79930000000058;8723061;132385;60;
238.9232000000011;8734719;132385;60;
238.76820000000043;8730751;132385;60;
246.01020000000062;10553684;153381;60.5;
247.1880999999994;8976784;136779;60.5;
238.73609999999826;8733620;133789;57;
244.47169999999824;9556311;145812;60;
245.95969999999943;8982704;137146;60;
239.86739999999918;8813760;133728;60.5;
239.6967999999979;8848610;133178;61;
238.67619999999806;8747414;132935;60.5;
238.94590000000244;8761940;132995;60;
239.90220000000045;9213966;139770;62;
251.3866999999991;10299107;151550;62.5;
238.54190000000017;8718300;132568;61;
238.39040000000023;8753091;133057;61;
247.99339999999938;9744116;148376;61;
238.52360000000044;8717018;132690;61;
239.58030000000144;8874855;133972;61;
238.39970000000176;8722085;132385;60.5;
238.64819999999963;8756569;133056;60.5;
