Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1143.573699999999;37448451;647764;49;
1145.7225000000017;38150048;654173;48.5;
1141.6074000000008;37173916;645628;48.5;
1146.7646000000022;37954187;655516;49;
1142.1653000000006;36933682;646361;49;
1146.550800000001;38201502;655394;49;
1143.4242999999988;37339138;647460;49;
1148.3079999999973;38339379;656675;49;
1142.8501000000033;37039273;646177;49;
1146.5685999999987;38169397;656797;48.5;
1143.5854;37320644;646849;48;
1146.3954000000012;38115747;655882;48.5;
1142.1699999999983;37324795;646055;48.5;
1146.2373000000007;38359948;656798;49;
1142.9665999999997;37375637;647642;49;
1149.4121999999988;38617577;658812;48.5;
1142.8186000000023;37092068;646178;49;
1146.3589999999967;38170740;655394;49;
1142.5732999999964;37124600;646300;49;
1149.357799999998;38467736;658872;48.5;
1145.2609999999986;37322780;648253;48.5;
1146.734399999994;38198144;656309;48.5;
1141.267899999999;36970426;645567;48;
1149.4040000000023;38925377;667234;49;
1140.0979000000007;36591581;637145;49.5;
1150.8001999999979;38820884;667418;48.5;
1138.902200000004;36111357;633421;48;
1150.7514999999985;38926719;667845;48.5;
1137.7839000000022;36143279;632872;49;
1155.535100000001;39079062;670897;48.5;
1133.1468000000023;36136382;631224;48.5;
1156.1964000000007;39145347;670714;48.5;
1133.0894000000044;36254607;630980;48.5;
1161.9786000000022;39427572;675230;49;
1132.0948999999964;36017730;630248;49;
1158.8194000000003;39248984;673338;49;
1132.235099999998;36042022;630370;49;
1156.2555000000066;39204062;671324;48.5;
1132.3245000000024;36174895;630187;48.5;
1159.356200000002;39199790;673521;49;
1133.6705000000002;36176116;632811;49;
1154.1401999999944;38944419;668638;49;
1135.9865999999965;37125332;646117;49.5;
1151.8298000000068;37890101;656736;50;
1138.5815999999977;37653346;651610;49;
1148.974900000001;37212063;650816;49;
1142.823299999989;38005152;653258;48.5;
1145.76479999999;37144009;648863;48.5;
1143.9118000000017;37850550;655027;48.5;
1145.8660999999993;37055447;648253;49;
1145.5093999999954;37978602;656370;49;
1143.6284000000014;37329799;647032;49;
1146.358500000002;38211939;655882;48.5;
1142.940100000007;37143887;645140;49;
1149.656600000002;38244531;657530;49;
1143.3143999999884;37184231;646238;48.5;
1145.719499999992;38238305;656004;48.5;
1141.630400000009;37068204;646056;49;
1146.7675000000017;37996118;655943;49;
1143.7756999999983;37022000;646910;49;
1146.135500000004;37998072;655577;48.5;
1141.925099999993;36919339;646117;49;
1147.6542000000045;38174280;657041;49;
1144.0599999999977;37076260;646666;48.5;
1146.0372999999963;38417870;655760;48.5;
1141.8422999999893;37208156;645873;48.5;
1148.2739000000001;38221277;656676;48.5;
1142.7976999999955;37238125;646787;49;
1147.3877999999968;38339013;658263;49;
1142.1682;37333461;646300;49;
1148.4051000000036;38676171;656675;49;
1142.6741000000038;37152370;646117;49;
1146.1972999999998;38102258;656066;49;
1144.1532000000007;37257412;647459;49;
1150.1852999999974;38152796;658080;49;
1142.4474999999948;37007229;646299;48.5;
1152.0033000000112;38419885;659483;48.5;
1141.7878000000055;37388271;647765;49;
1148.5331000000006;38811913;666441;49;
1140.8294999999925;36462981;635985;49;
1149.484500000006;38813378;667540;49;
1139.9193000000087;36571500;634825;49;
1149.8208999999915;38715599;667662;49;
1138.094299999997;36123626;634031;49;
1156.7446999999956;39201560;671874;49;
1133.3604999999952;36131499;630614;49;
1157.8034000000043;39376670;672361;48.5;
1137.100900000005;36279997;634398;48.5;
1156.8208000000013;39389304;671812;49;
1133.1328999999969;36043609;631163;49;
1159.534799999994;39461691;672910;49.5;
1132.2477999999974;36000336;629881;49.5;
1155.3221000000049;39176901;670103;48.5;
1133.1682;36129180;630797;49;
1161.4477999999945;39507468;674436;49;
1133.1178000000073;36192900;632872;49;
1154.1425000000017;39006797;669615;49;
1136.2016999999905;37267910;645445;49.5;
1153.4243000000133;38221521;658080;49.5;
1139.6120999999985;37867945;652281;49.5;
1147.9937000000064;37507961;649961;49;
1141.938799999989;37944849;653136;49;
1148.201700000005;37569728;649473;49;
1143.482799999998;38017176;653563;49;
1146.2005000000063;37187893;648619;49;
