Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1152.327299999999;36960904;656310;48.5;
1138.7728000000006;36601713;650450;48.5;
1147.8282999999992;36192046;649840;48.5;
1140.6396999999997;36410734;652159;48;
1148.2708999999995;36060638;650328;48;
1144.1069000000025;36930203;654540;48;
1142.6683000000012;36027984;646543;48;
1145.3966;36621671;655333;48;
1142.9638999999988;35672638;646544;48;
1146.8620999999985;37139248;657958;48;
1140.6080000000002;35770782;644773;48;
1147.1582999999991;36793301;655882;48.5;
1141.9013999999988;35914337;646299;47.5;
1144.9978999999985;36681425;655333;48;
1143.1303999999982;35962981;647032;48;
1146.8198000000011;36641935;655516;48;
1142.5260000000017;35940948;646178;48;
1145.163099999998;36691557;654722;48;
1142.8887000000032;35883575;646177;48;
1146.9283000000069;36889066;656553;48;
1145.3507000000027;36229766;648741;48;
1149.6365000000005;37176296;659483;48;
1141.3670999999958;35847626;645995;48;
1147.711900000002;36957242;657774;48;
1141.5388999999996;35665619;645201;48;
1145.0420000000013;36743559;654905;48;
1141.8493000000017;36213774;646239;48;
