Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
908.7188000000006;28914233;506285;49.5;
925.5301999999992;30951398;534117;49;
918.9042000000009;29872421;522337;49;
916.5987999999998;30689192;527282;49;
923.4115999999976;29978439;524352;49;
908.6850000000013;28908618;506285;49;
924.9799000000021;30845685;532347;49;
918.1643000000004;29749436;521239;49;
924.7534999999989;30905499;532896;49.5;
918.9628000000012;29861130;522032;49.5;
909.0252;28951098;506224;49.5;
923.3221999999987;30951458;531615;50;
918.3243999999977;29869980;521667;49.5;
925.0072;31098675;533873;49;
917.4961999999978;29786545;521666;49;
909.1543999999994;28976061;506468;49;
925.946100000001;31646770;542174;49;
914.8316000000013;28988207;509642;49;
921.3645999999972;30817243;530516;49.5;
919.2619000000013;29966598;524962;49.5;
908.0404999999992;28925829;505614;49;
931.6956000000027;31878947;547301;48.5;
909.2875999999997;28840441;506163;48.5;
922.726499999997;30919598;531371;49;
917.5820000000022;29790878;520201;49;
915.4851999999955;30576155;526854;49;
925.1239999999962;30084456;526244;49;
907.9262999999992;28844531;505980;49;
923.902599999994;30913800;532652;49.5;
917.6045000000013;29786300;520872;49.5;
921.5162000000055;30929120;530394;49;
920.0625;30032516;522520;49;
908.9010999999955;28887926;505553;49;
922.8090000000011;30840986;531310;49;
918.8047999999981;29968246;522521;49;
923.8599000000031;30915876;532469;49;
918.2641000000003;29781968;521971;49.5;
908.8646000000008;28883532;507079;49.5;
925.4334000000017;31578167;542479;49.5;
915.9720000000016;29178575;510680;49;
923.088499999998;30842450;531736;49;
919.0815999999977;29857895;522337;49;
908.2885999999999;28866870;505370;49;
933.8775000000023;31812602;548461;49;
910.3643000000011;28998522;507445;49;
923.123900000006;31006879;531432;49.5;
919.4138999999996;29878402;523619;49.5;
915.4453999999969;30036972;524962;48;
925.3414000000048;30579267;530272;48;
908.2721999999994;28865527;506285;49;
922.9133999999976;30862714;531920;49.5;
918.5696000000025;29967086;523436;49.5;
919.5907000000007;30718367;528685;49;
920.9156999999977;29842636;523498;49;
908.8930999999939;28905138;505492;49;
922.7813000000024;30977216;531920;49;
918.1927999999971;29844040;521727;49.5;
921.3149000000049;30838911;531188;49;
917.9174999999959;29834701;522093;49;
908.1512999999977;28837450;505370;49;
922.2597999999998;30867536;530944;49;
918.4685999999929;29883408;522337;49;
921.8306999999913;30861737;531249;49;
918.1484000000055;29792588;521483;49;
910.5835999999981;29069933;507018;49;
926.3522000000085;31753886;543883;49.5;
914.0445000000036;28989305;508788;49.5;
921.6426000000065;30812849;531005;49;
919.0127999999968;30103133;522520;49;
908.261400000003;28859301;505553;49;
932.8203999999969;31868326;548582;49;
909.0541000000085;28884142;506041;49;
920.8454999999958;30820966;530760;49;
920.1778000000049;30042831;523925;49;
915.3127999999997;30605085;526854;49;
924.4343999999983;30082565;525572;49;
910.1721000000107;29011583;507201;49;
922.9423999999999;30813215;531676;49;
917.7274000000034;29790878;521055;49;
919.9383000000089;30798871;529417;49;
921.4069000000018;29943588;523070;49;
909.1995000000024;28930957;506285;49;
921.8601000000053;30940960;530883;49;
917.0286999999953;29811996;521239;49;
924.1273999999976;31130780;535826;49;
917.4593000000023;29876450;521483;49;
907.8798999999999;28858385;505614;49;
925.6374999999971;31590068;542968;50;
914.5029000000068;29142504;509581;50.5;
923.9263000000064;30929242;531310;50;
917.9156999999977;29933212;521117;49.5;
909.1719000000012;28961779;506042;49;
931.6212000000087;31873942;546995;49;
908.8442000000068;28933153;506286;49;
924.2669999999925;30932782;532225;49.5;
919.0284000000102;29883652;522399;49.5;
912.8990000000049;30102217;522826;49.5;
926.4377000000095;30545149;530760;50;
907.9058999999979;28819201;504760;50;
921.0777999999991;30839765;530516;49.5;
917.5596000000078;29812118;521667;49;
918.5038000000059;30724592;528624;49;
921.7906999999977;30082687;525694;49.5;
907.2925000000105;28850268;505370;49.5;
923.9834000000119;30917584;532713;49;
917.6833000000042;29835190;521728;49;
922.3092999999935;30834027;531859;49;
917.9152999999933;29848190;521666;49;
908.5754000000015;28965075;506102;49;
923.7097999999969;30884687;532164;49;
917.4786000000022;29800766;521605;49.5;
923.5430000000051;31026654;533384;49.5;
917.1561000000074;29842636;521300;49.5;
909.9196999999986;29578172;510436;49.5;
928.3810000000085;32606484;551390;49.5;
914.3204000000114;29017321;508971;49.5;
921.1841000000131;30863019;530211;49.5;
919.0014999999985;29933884;521667;50;
908.2142000000022;28885912;505370;49.5;
933.455099999992;31828593;548277;49;
908.2839999999997;28883960;505492;49.5;
921.3119000000006;30781903;530028;49.5;
916.9495000000024;29760300;520141;49;
915.2795000000042;30670148;528014;49;
927.0777999999991;30118636;527464;49;
907.9095000000088;28873278;505553;49;
920.8362000000052;30934003;531310;49;
917.2473999999929;29841842;521239;49;
922.6905000000115;30834271;531249;49;
922.2572000000073;29978622;523925;49.5;
909.7693000000145;29052172;507139;49;
922.2530000000261;30868451;531066;49.5;
917.9781999999832;29845932;521300;49.5;
924.2492999999959;30844952;531615;49;
918.3793000000005;29954208;521666;49.5;
