Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1145.8665;36723356;655210;49;
1141.8472999999994;36010467;646056;51.5;
1144.5684;36837735;654783;51;
1141.5481;35930999;645445;51;
1146.7855000000018;37140346;656919;51;
1142.1715999999979;36300689;646117;51;
1146.4341999999997;37302150;657286;51;
1142.5564000000013;36029876;645994;51;
1146.4519;37197048;656004;51;
1142.4931999999972;35914520;646849;51;
1146.3715999999986;37408656;655821;50.5;
1141.5085;35889984;645201;50.5;
1146.255799999999;37087490;655882;51;
1143.5414999999994;35805390;647033;51;
1145.840500000002;36676054;654600;51;
1140.8510999999999;35876373;645689;51;
1145.6754;36637663;655089;51;
1145.2151000000013;36227569;650633;49;
1155.1403999999966;37872217;671813;47.5;
1138.589700000004;34904757;634703;47.5;
1150.3669999999984;37580104;668943;47.5;
1139.0357000000004;34954683;634215;47.5;
1153.216800000002;37568203;669371;46.5;
1134.0890999999974;34659335;631712;46.5;
1156.7448000000004;38062708;671446;46.5;
1133.6987000000008;34648776;631285;47;
1154.549699999996;37679835;670836;48;
1132.7156000000032;34872103;631041;47.5;
1163.0757000000012;38263941;675657;47.5;
1131.6371;34871981;630248;47.5;
1154.525999999998;38110681;670774;47.5;
1132.4973000000027;34944979;630431;47.5;
1156.0430999999953;37989466;670409;47;
1134.1900000000023;34959017;631712;47.5;
1157.0625;37917506;671568;48;
1133.3171999999977;34854159;633848;50;
1156.751400000001;37539699;669981;50;
1136.9890000000014;35898041;647460;48;
1151.4960999999967;36555753;656797;48;
1139.5111000000034;36222075;651549;47.5;
1149.3352000000014;35913055;650877;48;
1141.9703999999983;36609037;655028;47.5;
1146.012999999999;36060272;648558;47.5;
1147.5053000000044;36903531;659789;48;
1143.832699999999;35749603;647642;48;
1145.2493999999933;36646147;655211;48.5;
1141.9917000000132;35815765;645934;48.5;
1147.934500000003;36635832;657408;48;
1142.5884000000078;35805267;647276;48;
1150.6643999999942;37020230;661314;48;
1140.7325000000128;35581757;645078;47.5;
1147.2638999999908;36471709;655028;47;
1143.112599999993;35906768;647337;48;
1145.5299000000086;36791898;655272;48;
1141.1373999999923;35545319;645689;48;
1146.5914000000048;37074185;655516;49.5;
1141.2497000000003;35729889;645445;51;
1144.6549999999988;36751249;653868;51;
1140.9997000000003;35896515;645995;51;
1146.6994000000122;37102506;654784;51;
1142.174800000008;35750091;646665;51;
1146.5381999999954;36917020;657042;51;
1141.8344999999972;35977081;645079;51;
1146.0486999999994;37045072;655211;51.5;
1141.8478000000032;36503995;645811;51.5;
1145.6707999999926;37232754;656065;51;
1141.8399999999965;35907684;645567;51;
1147.585300000006;36845853;656920;51;
1141.9622999999992;35975738;646178;51.5;
1148.6766999999963;37218960;660704;49.5;
1141.2225000000035;35570344;645506;47.5;
1147.832500000004;36676969;657774;47;
1142.6848000000027;35826263;647032;47.5;
1146.791499999992;37061124;662230;53;
1139.3887000000104;35284150;638548;53;
1150.1565999999875;37435390;668211;47.5;
1138.6619999999966;34783114;634093;48;
1153.431899999996;37708033;670225;47.5;
1134.9114999999874;34587497;631896;47;
1152.821100000001;37704494;669249;47;
1136.2629999999917;34716585;632993;47;
1154.2361999999994;37656459;669860;47;
1133.516599999988;34758334;631590;47;
1159.4104999999981;37926295;674803;47.5;
1133.2009999999864;34681796;631041;47.5;
1154.4049999999988;37548976;670896;47;
1132.1401999999944;34637118;630065;47.5;
1158.6707000000024;37880946;673094;47.5;
1131.5478000000003;34408664;629515;47;
1154.5832999999984;37560817;670530;47.5;
1132.9089000000095;34579136;630858;48;
1157.899099999995;37671107;672361;47.5;
1133.6076999999932;34901278;635619;49.5;
1154.4361000000063;37474635;668150;49.5;
1139.914300000004;36001800;648558;47.5;
1155.1172000000079;36779202;660643;47.5;
1140.6506999999983;36997098;653745;47.5;
1153.2255000000005;36485991;652892;48;
1143.2372999999934;36686002;654356;48;
1145.9504000000015;35735870;648436;47.5;
1143.9450999999972;36754423;654234;47.5;
1142.7952000000078;35998321;646666;48;
1145.1515999999829;37029507;656798;48;
1142.4047000000137;36059844;646543;48;
1146.9330999999947;36858060;656859;48;
1141.7200000000012;35991546;646055;47.5;
1149.0978999999934;36938016;658385;48;
1142.5176999999967;36093780;647032;48;
1146.3677000000025;37146267;655577;48;
1141.2325999999885;36050689;646361;47.5;
1147.1944000000076;36887418;655760;47.5;
1142.9046999999846;36047881;646665;48;
1145.4613000000245;36987576;655211;48;
