Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1.0479452148437503;41675.5205078125;601.88671875;61;
1.0448265625000008;41276.0517578125;593.1240234375;65;
1.0507696289062505;42256.6044921875;603.0185546875;65.5;
1.04593359375;40985.5986328125;594.673828125;65.5;
1.0447003906249996;42239.3203125;599.978515625;64.5;
1.0539146484375017;41410.3994140625;596.759765625;65;
1.045188476562501;41965.7353515625;598.7275390625;64;
1.0574237304687486;41971.0390625;604.2705078125;64.5;
1.0344816406250033;39550.560546875;576.61328125;64.5;
1.0587123046875;42792.568359375;617.14453125;60.5;
1.0343827148437512;39682.2275390625;576.078125;64;
1.0557938476562505;42867.193359375;615.416015625;64;
1.036503906250001;39520.69921875;577.388671875;63.5;
1.0572959960937496;42773.435546875;617.8603515625;64;
1.0398465820312488;39768.35546875;579.7734375;63.5;
1.0482468750000002;41753.2451171875;600.693359375;64;
1.0472475585937495;40610.3291015625;593.720703125;64.5;
1.0485620117187509;41702.640625;601.826171875;65;
1.0437108398437474;40649.787109375;591.09765625;65;
1.0486980468750033;41656.5068359375;601.111328125;65;
1.0439594726562547;40801.123046875;592.05078125;65;
1.0521721679687488;43084.1533203125;604.330078125;64;
1.04358388671875;40861.2041015625;590.9189453125;64.5;
1.0491746093749938;41714.3828125;601.826171875;64.5;
1.0441006835937543;40799.5126953125;591.216796875;65;
1.0480371093750023;41857.6123046875;602.2431640625;64;
1.04760966796875;40950.9091796875;593.720703125;64.5;
1.0415653320312543;41437.51953125;595.03125;65.5;
1.0538348632812458;41460.169921875;601.1708984375;65;
1.0347177734374995;40352.8369140625;577.4482421875;65;
1.0580602539062482;43258.2587890625;616.84765625;65.5;
1.0340964843749987;40103.154296875;575.6005859375;65.5;
1.0595272460937508;43104.716796875;618.5751953125;64.5;
1.03573369140625;39657.193359375;576.1376953125;64;
1.0534151367187548;42749.4150390625;617.3232421875;65.5;
1.041718066406247;40545.1806640625;580.5478515625;66;
1.0491068359375006;42271.8037109375;602.3037109375;66;
1.0467861328124997;40949.1806640625;593.421875;65.5;
1.0499518554687484;42214.703125;603.01953125;65.5;
1.0435292968750005;41166.498046875;591.7529296875;66;
1.0495841796874998;42198.9072265625;601.349609375;66;
1.0449202148437564;41354.4306640625;592.111328125;66.5;
1.0472838867187448;41988.861328125;600.515625;66.5;
1.0445069335937447;41167.0947265625;592.349609375;65.5;
1.0497308593750034;42216.609375;602.421875;65.5;
1.0440330078125015;41303.4697265625;591.515625;66;
1.0460995117187508;41890.4541015625;600.3359375;65.5;
1.0468753906249972;40835.1572265625;593.244140625;65;
1.0410294921874979;41299.177734375;595.2099609375;65.5;
1.0524916015624939;41511.90625;599.0849609375;66;
1.0352684570312505;39899.783203125;577.03125;65.5;
1.0585484375000078;43317.20703125;616.787109375;65.5;
1.0354680664062386;40054.755859375;576.79296875;65.5;
1.0575344726562435;42963.9912109375;616.7275390625;65;
1.0368661132812491;39826.8876953125;576.673828125;65;
1.0518481445312489;42571.197265625;613.330078125;65;
1.0411407226562517;40058.2724609375;579.654296875;65;
1.0493941406249974;42233.5966796875;602.66015625;65.5;
1.0459754882812575;40788.0693359375;592.70703125;64.5;
1.0481027343750071;41851.0556640625;603.3173828125;65.5;
1.043887402343742;40575.5791015625;590.5615234375;66.5;
1.0532443359374923;41862.7978515625;604.7470703125;66;
1.047790332031255;41198.1484375;597.654296875;65.5;
1.0479479492187522;41838.6572265625;601.767578125;66;
1.044700878906255;41009.9169921875;591.0380859375;66;
1.0481198242187446;41993.212890625;601.3505859375;66;
1.0449576171874924;41030.48046875;591.7529296875;64.5;
1.046918554687494;41901.00390625;600.6943359375;65;
1.04684726562499;41041.3291015625;593.064453125;65.5;
1.0432261718749913;41568.2919921875;596.8203125;67;
1.0526621093750066;41162.087890625;597.416015625;67.5;
1.0333117187499994;39579.0517578125;575.0048828125;67;
1.0576416015624943;43040.1650390625;617.025390625;67;
1.033947167968762;39653.7958984375;575.66015625;67;
1.061822949218751;42940.0302734375;619.767578125;66.5;
1.0348557617187453;39693.3134765625;576.255859375;66.5;
1.0516348632812367;42615.900390625;613.2705078125;67;
1.0407897460937505;40437.8330078125;580.25;67;
1.0494541992187578;42246.29296875;601.349609375;67;
1.0458897460937493;40607.1103515625;592.2900390625;67;
1.0478103515624895;41976.10546875;599.978515625;67;
1.0462014648437474;41224.494140625;592.349609375;68.5;
1.0481605468749962;41736.197265625;601.8271484375;68.5;
1.04380439453125;41088.177734375;590.7998046875;67;
1.0470217773437582;41893.4345703125;599.9189453125;67;
1.0438629882812478;40897.5625;591.515625;66.5;
1.0520766601562457;41849.1484375;604.03125;67;
