Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1.0662445312499997;43601.521484375;593.779296875;76.5;
1.0759447265625006;45552.615234375;618.814453125;77.5;
1.0598455078125006;43642.884765625;589.7265625;77.5;
1.0727244140625007;46942.7109375;630.498046875;77;
1.07269765625;44576.767578125;601.646484375;77;
1.0778382812499991;45930.5078125;620.244140625;77.5;
1.059091796875002;43185.00390625;590.32421875;74;
1.063374999999997;45089.486328125;615.712890625;76;
1.0773746093749992;45134.072265625;613.330078125;73.5;
1.0756546874999984;44930.939453125;618.3359375;68.5;
1.057177929687498;42653.80859375;590.0859375;69;
1.0608958984375008;43144.591796875;590.798828125;68.5;
1.0883417968749995;47097.921875;640.986328125;68.5;
1.0784896484375004;45014.623046875;621.673828125;69;
1.058052734375;42894.96875;588.53515625;68.5;
1.0577964843750003;42796.025390625;587.8203125;68.5;
1.0848914062500015;46956.658203125;639.556640625;69;
1.0763238281249983;44933.560546875;619.6484375;68.5;
1.058290039062502;42841.68359375;589.845703125;68.5;
1.0589943359374985;43014.177734375;590.44140625;68;
1.0889535156250005;47139.880859375;640.509765625;68.5;
1.0776349609374947;44726.853515625;619.52734375;69;
1.0596894531249959;42986.640625;591.873046875;69;
1.0570525390624965;42735.705078125;587.8203125;69;
1.0838486328124972;46945.9296875;636.93359375;69;
1.0760138671874984;44700.865234375;618.693359375;68.5;
1.0580728515624997;42825.3515625;589.728515625;68;
1.0596246093749997;42843.3515625;590.44140625;68.5;
1.0962855468750021;47494.529296875;646.828125;68.5;
1.0683970703124999;44585.947265625;615.71484375;68.5;
1.0698039062499944;43122.5390625;595.92578125;69;
1.0571845703125007;42760.859375;588.17578125;69;
1.0838902343749979;46824.216796875;637.6484375;69;
1.0670455078125016;44516.80859375;614.759765625;69.5;
1.0704564453124945;43276.556640625;596.283203125;69.5;
1.0598666015624971;42964.46875;589.25;69;
1.082347070312501;46554.326171875;635.740234375;68.5;
1.0628078124999973;43062.099609375;591.6328125;69;
1.0815460937499992;45403.484375;621.556640625;69;
1.056949414062501;42754.421875;588.296875;70;
1.0731894531250035;46527.267578125;631.330078125;69.5;
1.0709271484375051;43334.61328125;596.521484375;69.5;
1.0759376953125042;45268.896484375;619.052734375;72.5;
1.0598066406249984;43521.888671875;591.751953125;76.5;
1.0676687500000028;45909.287109375;620.24609375;76.5;
1.077016601562498;44601.20703125;607.130859375;78;
1.0762542968749997;45505.048828125;619.88671875;78;
1.0589125000000053;43087.37109375;589.7265625;78;
1.0576500000000024;43428.072265625;587.9375;77.5;
1.083973046875002;47541.615234375;637.888671875;77;
1.0764886718749977;45260.193359375;619.6484375;77;
1.0591853515624905;42952.427734375;589.48828125;73.5;
1.0571216796874978;42739.998046875;587.8203125;70;
1.0920914062499918;47356.72265625;643.490234375;70;
1.080033203124998;45346.380859375;623.34375;70.5;
1.0581058593750043;42863.37890625;588.177734375;69.5;
1.057140039062503;42750.3671875;588.177734375;69.5;
1.085219335937495;47277.330078125;639.435546875;69.5;
1.0841031249999986;45189.623046875;624.537109375;69;
1.0578621093749945;42770.513671875;589.48828125;69;
1.0576875000000001;42749.4140625;588.17578125;70;
1.0880851562500027;47019.123046875;639.556640625;70;
1.0751750000000015;44944.052734375;618.6953125;69;
1.0605478515625038;43175.705078125;591.39453125;69;
1.0579453124999958;42787.44140625;589.130859375;70;
1.084899218749996;46749.94921875;637.052734375;70;
1.0739306640625017;44824.486328125;617.025390625;69.5;
1.0600863281249957;42768.248046875;589.25;69.5;
1.0575320312500054;42751.6796875;588.294921875;69.5;
1.0875304687500034;47035.333984375;641.10546875;69.5;
1.0660546874999994;44767.265625;614.5234375;70;
1.071618945312494;43320.42578125;597.35546875;69;
1.0574222656250072;42741.189453125;587.8203125;70;
1.0855015624999993;47055.2421875;638.958984375;69.5;
1.0606146484375074;43274.53125;591.9921875;69;
1.075972460937507;45058.373046875;618.45703125;70;
1.059060937500007;43084.98828125;588.7734375;70.5;
1.0806332031250037;46874.283203125;637.291015625;69;
1.0721499999999935;43547.7578125;597.119140625;70.5;
