Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1.3189652343749998;56631.66015625;774.14453125;69.5;
1.3162238281249996;53315.0234375;733.609375;69.5;
1.29867265625;52864.1796875;724.078125;70;
1.2975246093750004;52462.6796875;722.16796875;70;
1.2985203125000009;52776.91796875;721.453125;70;
1.3549933593750012;61287.72265625;823.01953125;70.5;
1.2983464843749992;52964.31640625;724.7890625;70.5;
1.3353453125000012;57427.97265625;784.87109375;70.5;
1.2965480468750012;53073.26953125;723.12109375;71;
1.2967152343750001;52939.7578125;721.69140625;70.5;
1.296458203124999;52749.73828125;721.453125;70;
1.3236992187499972;59288.109375;793.45703125;70.5;
1.330773437500003;54760.31640625;754.1171875;70.5;
1.3012535156249996;52898.26953125;725.7421875;70;
1.3371496093749968;57536.93359375;786.78125;70;
1.2969968750000014;53120.23828125;722.40625;70;
1.297480468749999;52762.13671875;722.16796875;70;
1.299231640624999;52977.90234375;724.07421875;70;
1.3487363281250033;61483.46484375;826.1171875;69.5;
1.3048800781249987;53488.35546875;727.17578125;69.5;
1.3203605468749977;56786.390625;775.57421875;69.5;
1.3117750000000008;53273.06640625;731.2265625;69.5;
1.298265624999999;52941.421875;721.69140625;70;
1.2984937499999987;52603.828125;724.07421875;70;
1.2982648437500046;52750.21484375;721.69140625;70;
1.3554464843750011;61398.5859375;823.97265625;70.5;
1.2983015625000007;52896.36328125;722.16796875;70.5;
1.338769140624997;57879.53515625;786.54296875;69.5;
1.2980609374999972;52776.44140625;725.265625;69;
1.3005550781249937;53657.6328125;725.26953125;69.5;
1.2980082031250006;52733.28515625;721.9296875;70;
1.313104687500001;57402.2265625;779.1484375;70.5;
1.335411328125005;56962.10546875;766.0390625;70.5;
1.296173437500002;53047.04296875;722.40625;70.5;
1.333943750000003;56995.0078125;782.96484375;70.5;
1.2968359374999991;52936.421875;722.8828125;70;
1.2979503906250045;53436.6171875;724.07421875;70;
1.2979886718750038;53275.44921875;722.16796875;70;
1.3400062500000018;60544.57421875;816.8203125;70;
1.3198695312499993;54138.28515625;735.51953125;70;
1.3094222656250025;55792.90234375;768.66015625;70.5;
1.3244886718750024;53852.421875;738.85546875;71;
1.2985300781249975;53281.40625;724.5546875;70.5;
1.2983195312499944;52837.71484375;721.92578125;70.5;
1.2955867187500019;52716.8359375;721.453125;71;
1.3525269531250004;61307.51171875;823.97265625;70.5;
1.3014164062500058;52570.921875;725.984375;70;
1.3347374999999886;57184.07421875;785.109375;70;
1.2983886718750028;52733.28515625;722.40625;70;
1.2974976562500018;52921.875;723.8359375;69.5;
1.2967691406249884;52435.02734375;722.171875;69.5;
1.3012226562499905;53742.26953125;731.703125;71;
1.3542070312499987;60738.88671875;821.3515625;71;
1.2984726562499986;52742.5859375;722.40625;70;
1.3376722656250024;57303.7578125;784.15625;70;
1.2987441406250042;53017.23828125;724.55078125;70;
1.2958023437499975;52700.1484375;722.16796875;70;
1.2971675781249985;52825.79296875;721.69140625;70;
1.3264925781249985;60096.34765625;807.28515625;70;
1.3198867187499985;54006.67578125;736.47265625;70;
1.3094703124999967;56305.7421875;772.47265625;70.5;
1.322844921875003;54023.60546875;736.234375;70.5;
1.2996789062499943;52802.1875;725.984375;70;
1.2995683593750016;53031.0703125;723.8359375;70;
1.297872656249993;52658.18359375;721.69140625;70;
1.3529296875000085;61020.6953125;823.97265625;70;
1.3018179687500009;53056.10546875;727.4140625;70;
1.3218414062500017;56589.21875;776.05078125;69.5;
1.3133843749999983;53812.60546875;731.2265625;69.5;
1.303783593750012;53789;730.03515625;70;
1.2973777343749902;52695.85546875;722.16796875;70;
1.298078906249998;53012.234375;723.83984375;70;
1.3527812499999925;61294.87890625;824.6875;70;
1.2979031250000048;52769.76171875;722.40625;70;
1.3342835937500013;57325.6953125;785.34765625;70;
1.3001000000000005;53696.25390625;725.26953125;70;
1.2961078124999972;52766.19140625;721.69140625;70;
1.2964417968750013;52703.48046875;721.6875;70;
1.326935156250002;60023.6328125;806.80859375;70.5;
1.334081249999997;54338.31640625;746.48828125;70.5;
1.3079632812499966;54309.703125;734.0859375;71;
1.3348113281249994;56774.23046875;773.4296875;71;
1.2996773437500053;52775.484375;721.9296875;70;
1.2990773437499996;53710.0859375;724.55078125;70;
1.3026664062499975;53514.8203125;723.6015625;70;
1.3481406249999992;60927.47265625;819.91796875;69.5;
1.3013683593750045;53196.296875;724.79296875;70;
1.324700000000007;56480.5;777.95703125;70.5;
1.306748828124995;53047.99609375;726.9375;70;
