Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1.1576664062500002;51531.66015625;716.68359375;69.5;
1.10807265625;43452.62890625;617.98046875;69.5;
1.1155179687500008;46618.10546875;659.94140625;72;
1.133598046875;44705.2734375;638.2421875;72.5;
1.1037425781249999;43187.5078125;613.21484375;70.5;
1.1034238281250008;43136.0078125;612.734375;70;
1.1030968750000003;43161.28125;612.734375;70;
1.1031976562499999;43305.2890625;615.59375;70;
1.1568421875000006;51076.28125;715.4921875;70;
1.1059316406250002;43342.71484375;616.07421875;70;
1.121581640625001;46565.890625;665.421875;70;
1.1206601562500005;43923.98046875;625.1328125;70;
1.1032777343749984;43398.03125;616.3125;70;
1.1033652343750013;43189.65625;612.97265625;70;
1.1021218749999981;43217.546875;612.73046875;70;
1.1017101562500002;43248.3046875;612.97265625;70;
1.1692652343750005;52294.12109375;727.890625;70;
1.104322265625001;43331.03515625;616.07421875;70;
1.1186863281249977;46483.16015625;662.32421875;69.5;
1.124677343750001;43912.7734375;627.27734375;69.5;
1.1066300781250007;43687.234375;617.02734375;69.5;
1.1055449218750013;43602.1171875;615.1171875;69.5;
1.103066015625;43308.859375;614.87890625;69.5;
1.1080960937499995;44738.41796875;638.72265625;71.5;
1.1571570312500015;50126.90234375;701.1875;71.5;
1.0923671875000025;42728.55078125;607.96484375;69.5;
1.1281656249999976;46858.90625;669.95703125;69;
1.0930996093749954;42902.12109375;609.39453125;69;
1.0919742187499963;42890.44140625;608.6796875;69.5;
1.0917355468750003;42715.67578125;606.296875;69;
1.0926953124999983;42882.3359375;609.16015625;69.5;
1.105997656250004;46059.96484375;657.79296875;70;
1.1421742187500001;48202.15234375;664.94921875;71;
1.0940335937500052;42919.2890625;609.3984375;70;
1.1214453125000006;46754.4765625;666.140625;69;
1.101140234375002;43118.84375;613.6875;69.5;
1.0921171875000013;42713.05859375;606.296875;70;
1.0942035156249972;42930.25390625;608.91796875;69.5;
1.093082031249999;42875.1796875;609.15625;69.5;
1.1114378906250053;47552.703125;671.86328125;70.5;
1.1292789062500006;46580.91015625;648.49609375;70.5;
1.0933691406250006;42895.921875;609.3984375;70;
1.1303101562500046;46960.47265625;669.4765625;70.5;
1.0929804687499995;42959.33984375;609.63671875;70.5;
1.0931683593750066;42877.08984375;608.91796875;70;
1.092390234375003;42902.59765625;608.6796875;70;
1.0928082031249957;42742.37890625;607.01171875;70;
1.112290625;48018.8125;671.86328125;70.5;
1.1347121093749948;45793.890625;649.2109375;71;
1.0922246093750019;42708.05078125;606.7734375;70.5;
1.1284507812499953;47006.484375;670.671875;69.5;
1.0953238281249966;43027.76953125;612.49609375;69.5;
1.0932667968749996;42899.9765625;608.91796875;70;
1.0927308593750027;42719.4921875;606.53515625;69.5;
1.0931386718750034;42863.01953125;608.44140625;69.5;
1.121820703124996;49601.4296875;690.22265625;70.5;
1.1189421874999965;44520.7421875;633.23828125;70.5;
1.092001562500002;42717.34765625;606.7734375;70;
1.1287851562500038;46885.37109375;666.37890625;70.5;
1.0923609374999899;42788.15625;607.01171875;70.5;
