Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
0.4213329101562504;17300.3232421875;244.3779296875;65;
0.40879169921875036;16127.1875;227.15234375;66;
0.40916005859375026;16178.685546875;227.927734375;66.5;
0.4218833007812499;18238.5576171875;251.4716796875;66;
0.4114874023437505;16161.4599609375;228.8818359375;65.5;
0.42061601562499984;17175.8095703125;245.1533203125;66;
0.40794121093750046;15981.7529296875;227.4501953125;65.5;
0.40892783203125127;16204.3154296875;227.80859375;66;
0.41402919921875103;17470.9111328125;243.9609375;65.5;
0.41707167968749914;16866.998046875;236.6298828125;65.5;
0.414059374999999;16961.76953125;240.921875;64.5;
0.4104517578124991;16078.3125;228.7021484375;65.5;
0.4084682617187507;16070.443359375;227.212890625;66;
0.40853642578125005;16042.19140625;227.15234375;65.5;
0.42575087890624985;18436.6826171875;255.28515625;66.5;
0.41141835937500026;16757.0869140625;236.9873046875;68.5;
0.4152286132812488;16544.9560546875;234.4248046875;68;
0.4093090820312497;16105.7900390625;227.15234375;65.5;
0.40911865234375;16149.12109375;227.80859375;65.5;
0.42259150390625067;18116.9052734375;253.6171875;65.5;
0.40915185546875144;16086.1796875;228.0458984375;64;
0.4222256835937497;17275.826171875;245.51171875;65.5;
0.4088638671874989;16131.478515625;227.33203125;66;
0.4086097656249983;16087.251953125;227.15234375;66;
0.41609843750000053;17824.1279296875;248.2529296875;66;
0.41527412109375206;16270.5361328125;232.337890625;66;
0.4175957031249986;17058.626953125;242.76953125;66;
0.40970029296875055;16189.65234375;228.166015625;66.5;
0.40856308593750157;16030.091796875;227.80859375;67;
0.408059374999997;15985.08984375;227.09375;67;
0.4229034179687474;18149.7470703125;253.19921875;66.5;
0.4135101562499983;17071.9189453125;241.3984375;66;
0.4160060546875002;16276.794921875;231.8623046875;66.5;
0.40836367187500144;16022.701171875;227.271484375;66;
0.40806542968750037;16086.775390625;227.6298828125;67;
0.42125556640625206;18064.2744140625;252.1865234375;68.5;
0.4081238281249995;16255.9921875;227.6884765625;68.5;
0.4177388671875022;17105.71484375;243.0673828125;68;
0.4077311523437501;15998.7392578125;227.033203125;68;
0.4075241210937506;16071.21875;227.1533203125;68;
0.41684228515624966;18019.8095703125;248.0146484375;68;
0.41362421875000166;16406.4345703125;230.37109375;68;
0.4186916015625002;17271.35546875;243.841796875;68;
0.40830878906250234;16092.1396484375;227.5107421875;67.5;
0.4081533203125005;16136.60546875;227.451171875;68;
0.4083116210937483;16047.734375;226.794921875;68;
0.4232685546874997;18434.6552734375;254.154296875;68;
0.41124267578125284;16858.951171875;239.4306640625;68.5;
0.4135877929687517;16185.1220703125;230.0732421875;68.5;
0.40761162109374993;16049.3447265625;227.2119140625;68;
0.40763417968750204;16252.2373046875;226.85546875;68;
0.4223453124999992;18246.068359375;253.4375;68;
0.40865878906249975;16111.6904296875;227.689453125;66;
0.4216781249999997;17188.3857421875;244.6767578125;66;
0.408392480468752;16074.2587890625;227.3916015625;66.5;
0.4092634765625007;16250.2119140625;229.775390625;66.5;
0.4162113281250015;17880.095703125;248.9677734375;66;
0.41434951171875056;16229.4091796875;231.4443359375;66;
