Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
0.40371269531249965;15419.0859375;224.7685546875;64.5;
0.41799296875000014;17459.5263671875;250.5771484375;65;
0.40707324218749985;16164.857421875;237.107421875;64.5;
0.40939960937499986;15524.5859375;228.2255859375;64;
0.40230332031249993;15258.75;224.052734375;64;
0.40395761718750034;15341.421875;224.4697265625;64.5;
0.4172525390625008;17291.501953125;249.802734375;64.5;
0.40373466796875057;15320.2021484375;224.6484375;64;
0.4148448242187506;16381.7587890625;241.6962890625;64.5;
0.4020373046875001;15302.201171875;224.2919921875;65;
0.40261445312500044;15292.6650390625;223.875;65;
0.4099146484374998;16675.966796875;241.3984375;65;
0.4107141601562496;16014.4755859375;232.21875;65;
0.4142474609375011;16506.5693359375;241.3984375;65;
0.40348583984374997;15366.5751953125;224.708984375;65.5;
0.4040953124999991;15410.8603515625;225.2451171875;65.5;
0.4035132812499995;15355.25;224.5302734375;65;
0.4195133789062506;17611.935546875;250.9345703125;65.5;
0.4036771484375006;15334.5068359375;225.603515625;65.5;
0.41581640625000027;16536.908203125;242.4111328125;65;
0.40261386718749925;15301.8447265625;224.232421875;64.5;
0.4029643554687503;15295.64453125;224.0537109375;65.5;
0.4153886718749984;17451.5400390625;249.2060546875;65.5;
0.40718027343749874;15463.9677734375;226.794921875;65;
0.4132589843750001;16429.0244140625;240.4443359375;65;
0.4045507812500002;15449.3056640625;225.7822265625;66;
0.4037388671874993;15338.560546875;224.4111328125;65.5;
0.4039069335937526;15335.22265625;224.58984375;65;
0.41907148437500297;17490.7587890625;251.888671875;65;
0.40883320312499905;16224.3427734375;237.5830078125;65.5;
0.40952001953125006;15518.447265625;228.046875;66;
0.4034310546874984;15324.2548828125;224.58984375;65;
0.40327685546875003;15348.455078125;224.470703125;65;
0.41640585937500063;17318.7412109375;249.4453125;66;
0.40470117187500065;15388.8662109375;225.4833984375;65;
0.4142237304687484;16342.478515625;240.921875;65.5;
0.40437607421874944;15445.7294921875;225.54296875;64.5;
0.40316884765625005;15338.91796875;224.470703125;65.5;
0.41207636718749896;17154.4111328125;246.8818359375;65.5;
0.41056367187499987;15631.099609375;229.5966796875;65;
0.4156345703124984;16468.6025390625;241.8154296875;64;
0.4056293945312497;15522.4404296875;227.0341796875;64.5;
0.4050493164062523;15423.4375;225.662109375;65;
0.4038789062500001;15397.2109375;225.06640625;65;
0.41750683593749827;17450.2880859375;249.921875;65;
0.40720996093750017;16125.2802734375;237.2265625;66;
0.41037451171875006;15639.98046875;228.8212890625;65.5;
0.4037469726562506;15351.255859375;224.470703125;65;
0.4038741210937502;15387.615234375;224.5302734375;65.5;
0.417859960937502;17408.5048828125;249.9208984375;65;
0.4057501953124998;15620.0126953125;225.8408203125;64.5;
0.4166768554687508;16456.4423828125;243.0078125;64;
0.4046467773437499;15517.7314453125;225.9609375;64.5;
0.40348037109374957;15366.09765625;224.5302734375;65;
0.4078804687499975;16618.08984375;240.861328125;65;
0.4108491210937508;16084.5107421875;232.5771484375;66;
0.41286396484374777;16382.8310546875;239.669921875;65;
0.4052291015625009;15412.7080078125;224.947265625;64.5;
0.40328603515624906;15304.6455078125;223.994140625;65;
0.40230449218750053;15267.09375;223.8740234375;65.5;
0.4189565429687505;17586.24609375;252.3662109375;66.5;
0.4033498046874975;15333.13671875;224.529296875;66;
0.4147606445312526;16453.2236328125;241.6962890625;64.5;
0.4039538085937515;15341.8984375;225.484375;64;
0.40333994140624796;15340.4677734375;224.470703125;64;
0.4157548828125037;17311.826171875;251.11328125;64;
0.4065988281250057;15437.50390625;226.7353515625;64;
0.41290908203125554;16248.720703125;239.7890625;65;
0.4032396484374985;15285.2744140625;223.8740234375;65;
0.40242343749999776;15262.744140625;223.9931640625;65;
0.40340781249999935;15328.78515625;224.4111328125;65;
0.4198110351562505;17380.0732421875;251.7099609375;63.5;
0.40764697265625216;16190.4287109375;237.2255859375;64;
0.40987167968749816;15471.955078125;227.8681640625;64.5;
0.40242363281249993;15276.8095703125;223.875;64;
0.4042114257812486;15395.1845703125;225.1259765625;64;
0.4174051757812478;17329.8271484375;250.2197265625;64.5;
0.4035400390624986;15294.095703125;225.3642578125;65;
0.4128132812499956;16246.75390625;239.55078125;65;
0.40291142578124806;15327.6533203125;224.5302734375;65;
0.40335566406250223;15334.2685546875;224.470703125;64.5;
0.41257373046875045;17055.884765625;245.869140625;63.5;
0.41119873046874744;15622.93359375;229.65625;63.5;
0.4129717773437491;16288.1201171875;240.384765625;63.5;
0.40374326171875197;15387.078125;225.7216796875;63.5;
0.4033600585937478;15314.123046875;224.6494140625;63.5;
0.40268046875000607;15278.59765625;223.8154296875;64;
0.41782695312499385;17251.208984375;249.802734375;64;
0.40665185546875193;15985.328125;235.3779296875;61;
0.41058447265625375;15639.6826171875;230.1923828125;65;
0.4040269531249976;15347.1435546875;224.708984375;64;
0.40376484374999677;15328.4873046875;224.470703125;64;
0.4184746093750036;17364.7548828125;252.0673828125;64;
0.40652841796875094;15442.5107421875;226.67578125;64;
0.4158782226562536;16377.228515625;241.6962890625;64.5;
0.40229101562499636;15286.287109375;224.291015625;65;
0.4035176757812522;15285.8701171875;224.470703125;64.5;
0.4069551757812562;16145.068359375;237.28515625;64.5;
0.41391933593749997;16504.24609375;236.8681640625;65;
0.4110585937499991;16200.083984375;239.1923828125;64.5;
0.4032402343749979;15262.625;224.0537109375;64.5;
0.40310126953124836;15279.1943359375;223.8154296875;64.5;
0.4031282226562496;15315.671875;224.58984375;64;
0.4191404296875021;17412.55859375;250.9345703125;64;
0.4033889648437494;15330.4541015625;224.7685546875;64;
0.4140146484375009;16381.5205078125;240.802734375;64;
0.4046554687500006;15526.43359375;225.662109375;64;
0.4031175781249985;15308.400390625;224.470703125;64;
0.4137667968749952;17297.759765625;247.955078125;63.5;
0.4073500976562485;15412.5302734375;227.15234375;63.5;
0.4124397460937459;16294.6162109375;239.7294921875;64.5;
0.40328857421874886;15291.5322265625;224.0537109375;64.5;
0.40317792968750155;15268.763671875;223.994140625;64.5;
0.40314550781249636;15280.9228515625;224.0537109375;65;
0.41890537109375003;17294.064453125;250.994140625;64.5;
0.40765732421874645;16096.7890625;236.7490234375;64.5;
0.40961572265624824;15508.91015625;229.2392578125;64.5;
0.4019957031249959;15242.1201171875;223.45703125;64;
0.4025352539062439;15281.3994140625;224.5302734375;64;
0.41868447265625264;17329.41015625;251.0537109375;64.5;
0.4045270507812475;15429.8740234375;225.6025390625;65;
0.4129683593750002;16236.025390625;240.2060546875;65;
0.40186953125;15229.841796875;223.5771484375;64.5;
0.40398037109374485;15456.9345703125;225.1259765625;64;
0.41000830078125006;16731.3984375;242.0537109375;64.5;
0.4127549804687476;15951.771484375;234.06640625;64.5;
0.41259472656249585;16183.3349609375;239.908203125;63.5;
0.4042324218750011;15290.9365234375;225.24609375;64;
0.4032337890625044;15309.353515625;224.4697265625;64;
0.40312314453125;15311.26171875;224.4111328125;64;
0.4171925781250039;17333.880859375;250.041015625;65;
0.4030166015625056;15316.685546875;224.7685546875;64.5;
0.4152876953125002;16390.818359375;242.2919921875;64;
0.4037973632812495;15312.333984375;224.947265625;64;
0.40305947265624553;15315.6123046875;224.4111328125;63.5;
0.41558994140624606;17261.2822265625;249.146484375;63.5;
0.40628876953125115;15429.21875;226.2587890625;64.5;
0.415431835937504;16481.2978515625;241.6962890625;64.5;
0.4029608398437503;15309.4736328125;224.708984375;64;
0.403595312500002;15331.52734375;224.6494140625;65;
0.40294980468750197;15306.314453125;224.4111328125;65;
0.4189100585937524;17389.431640625;250.755859375;64.5;
0.41198320312499703;16267.01953125;239.9677734375;63.5;
0.40509384765625356;15328.904296875;225.9609375;64;
0.40304384765624945;15270.134765625;224.58984375;64.5;
0.40310996093749907;15272.9365234375;223.8740234375;64;
0.42092851562499334;17401.76953125;252.4248046875;64;
0.40360156250000045;15350.4814453125;225.603515625;64.5;
0.41367480468750273;16391.5927734375;241.099609375;64.5;
0.4020677734374942;15238.365234375;223.6962890625;64.5;
0.40156298828124193;15223.4638671875;223.2783203125;64;
0.4140985351562563;17198.1611328125;248.55078125;64.5;
0.4108576171875029;15565.0576171875;229.537109375;64;
0.41223710937501323;16270.1787109375;239.7294921875;64;
0.4029026367187498;15276.6904296875;224.291015625;64;
0.40295175781250236;15267.69140625;223.8740234375;64;
0.40316445312500093;15312.9296875;224.5302734375;64.5;
0.4203852539062467;17427.162109375;251.5908203125;64.5;
0.40592529296876023;16053.337890625;235.974609375;65;
